USER_ID,USERNAME,SLOTMACHINEDATE,BLACKJACKDATE,SPINDATE
857130996,chezetti,2023-09-03T12:07:42,2023-09-03T12:02:08,2023-09-03T12:07:48
396651363,barataliba,2023-09-03T12:15:07,2023-09-03T12:12:53,2023-09-03T12:15:28
